,MC2
M01,7
M02,8
M03,13
M04,9
M05,19
M06,17
M07,14
M08,15
M09,11
M10,10
M11,20
M12,12
M13,4
M14,16
W01,5
W02,6
W03,1
W04,2
W05,18
W06,3
