,MC3Fair
M01,2
M02,5
M03,13
M04,4
M05,17
M06,18
M07,15
M08,14
M09,10
M10,7
M11,19
M12,6
M13,1
M14,16
W01,12
W02,11
W03,3
W04,9
W05,20
W06,8
