,MC3
M01,7
M02,11
M03,14
M04,9
M05,17
M06,18
M07,15
M08,13
M09,12
M10,8
M11,20
M12,10
M13,4
M14,16
W01,6
W02,5
W03,1
W04,2
W05,19
W06,3
