,MC3
M01,5
M02,2
M03,3
M04,6
M05,13
M06,11
M07,12
M08,15
M09,14
M10,17
M11,16
M12,19
M13,18
M14,20
W01,1
W02,4
W03,7
W04,9
W05,10
W06,8
