,MC3
M01,19
M02,2
M03,10
M04,11
M05,8
M06,18
M07,15
M08,9
M09,12
M10,5
M11,17
M12,20
M13,6
M14,16
W01,14
W02,7
W03,1
W04,13
W05,3
W06,4
