,MC2Fair
M01,18
M02,1
M03,11
M04,8
M05,9
M06,17
M07,15
M08,5
M09,13
M10,2
M11,16
M12,19
M13,4
M14,14
W01,20
W02,7
W03,3
W04,12
W05,6
W06,10
