,MC1Fair
M01,7
M02,8
M03,2
M04,1
M05,3
M06,6
M07,11
M08,10
M09,9
M10,18
M11,5
M12,17
M13,19
M14,20
W01,12
W02,4
W03,16
W04,15
W05,13
W06,14
