,MC1Fair
M01,5
M02,4
M03,2
M04,1
M05,3
M06,6
M07,8
M08,12
M09,11
M10,16
M11,18
M12,17
M13,19
M14,20
W01,7
W02,9
W03,10
W04,15
W05,13
W06,14
