,MC3
M01,7
M02,4
M03,2
M04,3
M05,10
M06,8
M07,12
M08,13
M09,15
M10,16
M11,18
M12,17
M13,19
M14,20
W01,1
W02,5
W03,6
W04,11
W05,14
W06,9
